     index            Field [G]         Intensity []
       343     3303.43108504399             29509853
       344     3303.52883675464             30816308
       345      3303.6265884653             32220811
       346     3303.72434017595             33589982
       347     3303.82209188661             34485917
       348     3303.91984359726             35153163
       349     3304.01759530792             35869103
       350     3304.11534701857             35651432
       351     3304.21309872923             34441709
       352     3304.31085043988             32949656
       353     3304.40860215054             30352812
       354     3304.50635386119             27011612
       355     3304.60410557185             22496413
       356      3304.7018572825             17427562
       357     3304.79960899316             11803295
       358     3304.89736070381              5571127
       359     3304.99511241447             -1406527
       360     3305.09286412512             -8425624
       361     3305.19061583578            -15501673
       362     3305.28836754643            -22035755
       363     3305.38611925709            -27811428
       364     3305.48387096774            -33140137
       365      3305.5816226784            -37181143
       366     3305.67937438905            -41339902
       367     3305.77712609971            -44262076
       368     3305.87487781036            -46235117
       369     3305.97262952102            -47796833
       370     3306.07038123167            -48621824
       371     3306.16813294233            -48888107
       372     3306.26588465298            -48807464
       373     3306.36363636364            -48166796
       374     3306.46138807429            -47721910
       375     3306.55913978495            -46625173
       376      3306.6568914956            -45521573
       377     3306.75464320626            -44081856
       378     3306.85239491691            -42832137
       379     3306.95014662757            -41396151
       380     3307.04789833822            -40146231
       381     3307.14565004888            -38637050
       382     3307.24340175953            -37239436
       383     3307.34115347019            -35971418
       384     3307.43890518084            -34794602
       385      3307.5366568915            -33439684
       386     3307.63440860215            -32054870
       387     3307.73216031281            -30744768
       388     3307.82991202346            -29468728
       389     3307.92766373412            -28515287
       390     3308.02541544477            -27826561
       391     3308.12316715543            -26988203
       392     3308.22091886608            -26133176
       393     3308.31867057674            -25771492
       394     3308.41642228739            -24933925
       395     3308.51417399804            -24190287
       396      3308.6119257087            -23306061
       397     3308.70967741935            -22766245
       398     3308.80742913001            -22117743
       399     3308.90518084066            -21354222
       400     3309.00293255132            -20784116
       401     3309.10068426197            -19962298
       402     3309.19843597263            -19607096
       403     3309.29618768328            -19214123
       404     3309.39393939394            -19155372
       405     3309.49169110459            -18902369
       406     3309.58944281525            -18494476
       407      3309.6871945259            -17718774
       408     3309.78494623656            -17363033
       409     3309.88269794721            -17257811
       410     3309.98044965787            -16545748
       411     3310.07820136852            -15817532
       412     3310.17595307918            -15850912
       413     3310.27370478983            -15444661
       414     3310.37145650049            -15015794
       415     3310.46920821114            -15013610
       416      3310.5669599218            -13992907
       417     3310.66471163245            -13335566
       418     3310.76246334311            -13445307
       419     3310.86021505376            -12906504
       420     3310.95796676442            -12630185
       421     3311.05571847507            -12540925
       422     3311.15347018573            -11779857
       423     3311.25122189638            -11568812
       424     3311.34897360704            -11428832
       425     3311.44672531769            -10953087
       426     3311.54447702835            -10734248
       427       3311.642228739            -10006383
       428     3311.73998044966             -9967132
       429     3311.83773216031             -9617056
       430     3311.93548387097             -9325808
       431     3312.03323558162             -9100501
       432     3312.13098729228             -8471059
       433     3312.22873900293             -8185072
       434     3312.32649071359             -7616327
       435     3312.42424242424             -7711818
       436      3312.5219941349             -7172496
       437     3312.61974584555             -6703371
       438     3312.71749755621             -6294434
       439     3312.81524926686             -5949820
       440     3312.91300097752             -5567808
       441     3313.01075268817             -5265439
       442     3313.10850439883             -5060151
       443     3313.20625610948             -4981238
       444     3313.30400782014             -4235725
       445     3313.40175953079             -3894773
       446     3313.49951124145             -3467097
       447      3313.5972629521             -3319223
       448     3313.69501466276             -2995428
       449     3313.79276637341             -2447568
       450     3313.89051808407             -2192274
       451     3313.98826979472             -2227675
       452     3314.08602150538             -1969772
       453     3314.18377321603             -1453425
       454     3314.28152492669             -1355039
       455     3314.37927663734              -913452
       456       3314.477028348              -641394
       457     3314.57478005865              -377675
       458     3314.67253176931               -29221
       459     3314.77028347996               267692
       460     3314.86803519062               551513
       461     3314.96578690127              1054366
       462     3315.06353861193              1358509
       463     3315.16129032258              1837038
       464     3315.25904203324              2196289
       465     3315.35679374389              2760961
       466     3315.45454545455              3625856
       467      3315.5522971652              3806899
       468     3315.65004887586              4211655
       469     3315.74780058651              4654782
       470     3315.84555229717              5375334
       471     3315.94330400782              5739861
       472     3316.04105571848              5788971
       473     3316.13880742913              6526569
       474     3316.23655913978              7465055
       475     3316.33431085044              8206060
       476     3316.43206256109              8614269
       477     3316.52981427175              9712884
       478      3316.6275659824             10096813
       479     3316.72531769306             10241261
       480     3316.82306940371             11007418
       481     3316.92082111437             11780410
       482     3317.01857282502             12410414
       483     3317.11632453568             13153107
       484     3317.21407624633             13820274
       485     3317.31182795699             14057580
       486     3317.40957966764             14846861
       487      3317.5073313783             15509349
       488     3317.60508308895             16351801
       489     3317.70283479961             17269322
       490     3317.80058651026             18288711
       491     3317.89833822092             19193260
       492     3317.99608993157             20605994
       493     3318.09384164223             21734021
       494     3318.19159335288             22868982
       495     3318.28934506354             24740144
       496     3318.38709677419             27141855
       497     3318.48484848485             29056464
       498      3318.5826001955             30911817
       499     3318.68035190616             33308232
       500     3318.77810361681             35756574
       501     3318.87585532747             38656403
       502     3318.97360703812             41294412
       503     3319.07135874878             44145322
       504     3319.16911045943             46741058
       505     3319.26686217009             50049684
       506     3319.36461388074             53173691
       507      3319.4623655914             56255158
       508     3319.56011730205             58561964
       509     3319.65786901271             60368453
       510     3319.75562072336             61642379
       511     3319.85337243402             62235025
       512     3319.95112414467             61760246
       513     3320.04887585533             59844388
       514     3320.14662756598             56612806
       515     3320.24437927664             51886902
       516     3320.34213098729             45166776
       517     3320.43988269795             37279465
       518      3320.5376344086             27850082
       519     3320.63538611926             17334745
       520     3320.73313782991              5433453
       521     3320.83088954057             -6488632
       522     3320.92864125122            -17964874
       523     3321.02639296188            -29452277
       524     3321.12414467253            -40135534
       525     3321.22189638319            -49553816
       526     3321.31964809384            -58119567
       527      3321.4173998045            -65037898
       528     3321.51515151515            -69832698
       529     3321.61290322581            -72923024
       530     3321.71065493646            -74725763
       531     3321.80840664712            -75311589
       532     3321.90615835777            -74801734
       533     3322.00391006843            -73553725
       534     3322.10166177908            -71464029
       535     3322.19941348974            -68997791
       536     3322.29716520039            -66112973
       537     3322.39491691105            -62968576
       538      3322.4926686217            -60345271
       539     3322.59042033236            -57423339
       540     3322.68817204301            -53992693
       541     3322.78592375367            -50935298
       542     3322.88367546432            -48410942
       543     3322.98142717498            -45986913
       544     3323.07917888563            -43327206
       545     3323.17693059629            -41244040
