     index            Field [G]             Time [s]         Intensity []
        57     3275.47409579668                    0               -21505
        58     3275.57184750733                    0               -24791
        59     3275.66959921799                    0               -25647
        60     3275.76735092864                    0               -23082
        61      3275.8651026393                    0               -24573
        62     3275.96285434995                    0               -24782
        63     3276.06060606061                    0               -26278
        64     3276.15835777126                    0               -27807
        65     3276.25610948192                    0               -24776
        66     3276.35386119257                    0               -25100
        67     3276.45161290323                    0               -23953
        68     3276.54936461388                    0               -23452
        69     3276.64711632454                    0               -26099
        70     3276.74486803519                    0               -22667
        71     3276.84261974585                    0               -25694
        72      3276.9403714565                    0               -29286
        73     3277.03812316716                    0               -26582
        74     3277.13587487781                    0               -26088
        75     3277.23362658847                    0               -30179
        76     3277.33137829912                    0               -23835
        77     3277.42913000978                    0               -23930
        78     3277.52688172043                    0               -28541
        79     3277.62463343108                    0               -28660
        80     3277.72238514174                    0               -26108
        81      3277.8201368524                    0               -26861
        82     3277.91788856305                    0               -28105
        83      3278.0156402737                    0               -24170
        84     3278.11339198436                    0               -21985
        85     3278.21114369501                    0               -28127
        86     3278.30889540567                    0               -29581
        87     3278.40664711632                    0               -29785
        88     3278.50439882698                    0               -23623
        89     3278.60215053763                    0               -31659
        90     3278.69990224829                    0               -33517
        91     3278.79765395894                    0               -34627
